40 2
1 1 -1.8505772863360295
1 2 6.567339336437495
2 1 3.372074697224905
2 2 -6.563118921954214
1 3 0.03652893748851531
2 4 0.16770960808232527
3 3 8.320528323418936
3 4 -0.7763740386428086
4 3 -5.31813874485585
4 4 1.6980730437079898
3 5 0.06691971776377063
4 6 0.14887842512635643
3 1 0.24610314354039406
3 2 0.03255485714834933
4 1 0.0834837796374209
4 2 0.11159682524458747
5 5 -0.5803394049706174
5 6 8.039900035105093
6 5 1.660128236678366
6 6 -5.767771479379072
5 7 0.17760710496922863
6 8 0.09931500921163587
5 3 0.06071840049624233
5 4 0.24897675974076416
6 3 0.07341171648248453
6 4 0.21806565472558362
7 7 -4.787912216029166
7 8 5.779870763787548
8 7 5.204065308510141
8 8 -4.193649345173474
7 9 0.2266900124449161
8 10 0.2066638551343493
7 5 0.1308649572870612
7 6 0.19768226105170675
8 5 0.0157526333604032
8 6 0.2383666055097361
9 9 4.71589196806652
9 10 -2.292834808034506
10 9 -6.683371188904304
10 10 5.369899537227385
9 11 0.04144554376589897
10 12 0.07048807106731271
9 7 0.206480934394194
9 8 0.24632456729809882
10 7 0.06879778256261783
10 8 0.23351091223053463
11 11 -1.2749190843927383
11 12 7.700121902821913
12 11 2.276797863643406
12 12 -5.907528713264302
11 13 0.24882454021186975
12 14 0.2740703089628879
11 9 0.06702991619738237
11 10 0.1780227588581535
12 9 0.25416439080023373
12 10 0.20063986744852894
13 13 -3.1776484678454717
13 14 6.686671616362967
14 13 4.078948621661844
14 14 -5.436280994537363
13 15 0.06377484187792316
14 16 0.277064064474502
13 11 0.1602611541507202
13 12 0.006961363077091031
14 11 0.21954385081836192
14 12 0.23607832837916187
15 15 -7.153617968616731
15 16 5.922172130130938
16 15 3.5267434782916207
16 16 -1.5217449387173054
15 17 0.17615902933184932
16 18 0.2255702964414414
15 13 0.21467568796423966
15 14 0.1540208218204655
16 13 0.13660135201319767
16 14 0.13936925100565342
17 17 -8.005101966609345
17 18 5.75215488829594
18 17 1.9513239943034493
18 18 -0.1529421933147863
17 19 0.29941998353318566
18 20 0.08854816620876724
17 15 0.18855895975105416
17 16 0.18128568865259767
18 15 0.1287699060667465
18 16 0.11740353273264248
19 19 6.4851224168284265
19 20 -3.1932623649939447
20 19 -5.528396951319842
20 20 4.264163441485353
19 21 0.00918832065844677
20 22 0.2067121031477777
19 17 0.14435670710244278
19 18 0.20806287596509054
20 17 0.053258945799217396
20 18 0.024105044961767418
21 21 5.070614044997718
21 22 -5.216841593516937
22 21 -3.750956088457391
22 22 5.83127476777488
21 23 0.1521090661882621
22 24 0.19092219736752183
21 19 0.16669361066139263
21 20 0.1500113625333374
22 19 0.27101972770512456
22 20 0.15654999849340748
23 23 -5.934758171877934
23 24 2.9226952897827476
24 23 7.318069398782251
24 24 -1.9189470964611335
23 25 0.08243189580591397
24 26 0.18394796818435658
23 21 0.16307626286436167
23 22 0.288133448300177
24 21 0.2887030618222656
24 22 0.20967151536339299
25 25 5.058539256803127
25 26 -6.602204645650535
26 25 -2.3976691675747643
26 26 5.1061978973785855
25 27 0.280975326733787
26 28 0.09122598217325144
25 23 0.27991236923425206
25 24 0.11871208573087219
26 23 0.14891697556051406
26 24 0.02546841052317097
27 27 -5.166923548032209
27 28 5.7611015357277875
28 27 5.155215029564578
28 28 -3.8126589334448315
27 29 0.0026169696721604517
28 30 0.18021002078879714
27 25 0.10622509379958409
27 26 0.1865327296426125
28 25 0.2388837947709935
28 26 0.16763827260721237
29 29 5.005251371380709
29 30 -5.86484458274655
30 29 -3.112401638117947
30 30 5.644821766235024
29 31 0.043849092936172715
30 32 0.27421123640376105
29 27 0.12212790478382297
29 28 0.09821410454531007
30 27 0.18788398435462453
30 28 0.16782936018185857
31 31 -6.061487181192357
31 32 6.41351707461565
32 31 4.0336595329841485
32 32 -2.6181601665712413
31 33 0.09692919292011538
32 34 0.12692518420519827
31 29 0.17960127275245982
31 30 0.16043989755614285
32 29 0.07928918588687008
32 30 0.08793676890963731
33 33 8.501750250184294
33 34 -2.830673079624034
34 33 -3.833130944866039
34 34 2.4524762505054953
33 35 0.09915405826137814
34 36 0.008944235109295073
33 31 0.1128120854285588
33 32 0.2781169369693431
34 31 0.06051391440229903
34 32 0.279746094743972
35 35 9.977585564277366
35 36 -0.49642298751497327
36 35 -0.3961731627359555
36 36 1.0219576068107754
35 37 0.19774512737801456
36 38 0.15792567785424788
35 33 0.25066392230638757
35 34 0.14194930403390307
36 33 0.29707461214576214
36 34 0.1544143241696623
37 37 -2.3266756355818212
37 38 2.5003215187336902
38 37 8.265491510380551
38 38 -4.5843890412544885
37 39 0.0638154683081316
38 40 0.09756795979380292
37 35 0.10570123070629775
37 36 0.29952300907346924
38 35 0.2919567306384849
38 36 0.245490163524579
39 39 3.854355392423972
39 40 -2.56500770348207
40 39 -6.008243765784251
40 40 6.5928511920780215
39 37 0.28110265394353706
39 38 0.18826467320957416
40 37 0.09379357312529264
40 38 0.05905897340825354
