n,cond,rank,val
2,19.28147006790397,2,1.1240151438116956e-15
3,524.0567775860644,3,9.825526038180824e-15
4,15513.73873892924,4,2.950477637286781e-13
5,476607.25024259434,5,8.500055777753297e-12
6,1.4951058642254665e7,6,3.3474135070361745e-10
7,4.75367356583129e8,7,5.163959183577243e-9
8,1.5257575538060041e10,8,3.7848151989133265e-7
9,4.931537564468762e11,9,1.1585425852932993e-5
10,1.6024416992541715e13,10,0.0004113060270049873
11,5.222677939280335e14,10,0.011527389868830604
12,1.7514731907091464e16,11,0.3337010916689215
13,3.344143497338461e18,11,3.420572025886181
14,6.200786263161444e17,11,6.189258670076646
15,3.674392953467974e17,12,8.601007703113547
16,7.865467778431645e17,12,19.52407993391386
17,1.263684342666052e18,12,11.353062349066438
18,2.2446309929189128e18,12,7.4373553679602855
19,6.471953976541591e18,13,14.72476228249035
20,1.3553657908688225e18,13,23.28948681435163
21,3.290126328601399e18,13,18.368572770144162
22,1.0361032753348465e19,13,12.956205767885796
23,6.313778670724671e17,13,14.164303681843158
24,2.129502667338134e18,13,268.1682125005299
25,1.3719347461445998e18,13,28.28658300598808
26,5.838636705219328e18,14,39.12222160709079
27,4.424587877361583e18,14,38.90044951648005
28,9.235324245161374e18,14,18.684648018221907
29,8.05926200352767e18,14,337.8870882730629
30,5.507991645999902e18,14,77.34529067309852
31,2.3508867005384925e19,14,32.216657549120804
32,4.651068176216694e18,14,26.39783578476492
33,1.2131406082348128e19,14,34.10586577993141
34,4.5616405243414067e18,14,209.1605795773681
35,2.6087455171093307e19,14,61.090159944544155
36,4.467552764961839e18,15,86.94555740870577
37,6.763982849658887e18,15,131.50632695219028
38,2.5799096742390997e19,15,300.6815606711967
39,9.520296177201873e18,15,346.3935257231161
40,6.507249058549335e18,15,137.1082633724537
41,1.1216722118346185e19,15,30.843003797731487
42,2.672423916643256e19,15,183.83523245308626
43,3.895762014266483e19,15,50.61904998722598
44,4.377574261588784e19,15,34.03161661284166
45,1.1740913241980596e19,15,50.68269375820404
46,2.394794042936751e19,15,29.561545335150377
47,1.2561317401570136e19,15,264.9733418880102
48,6.715716325530528e18,15,236.70249050320876
49,6.148071066691518e18,16,50.24440344442719
50,2.3125456566766473e19,16,71.05835606379519
